Name,Type,Total,Mud,Wood,BurntBrick,Stone,Cement,FloorTiles,Other
District - Aurangabad,Total,"463,180","347,766","2,539","21,236","3,101","86,563","1,243",732
District - Aurangabad,Rural,"417,046","332,640","2,211","18,513","2,000","60,411",591,680
District - Aurangabad,Urban,"46,134","15,126",328,"2,723","1,101","26,152",652,52
District - Gaya,Total,"783,128","564,820","3,464","47,130","3,951","158,783","4,027",953
District - Gaya,Rural,"678,622","544,752","3,011","36,926","2,574","89,939",669,751
District - Gaya,Urban,"104,506","20,068",453,"10,204","1,377","68,844","3,358",202
District - Nawada,Total,"409,955","290,594","2,232","26,366","1,616","87,796",805,546
District - Nawada,Rural,"367,385","278,548","2,040","22,342","1,217","62,350",391,497
District - Nawada,Urban,"42,570","12,046",192,"4,024",399,"25,446",414,49
District - Jamui,Total,"345,496","260,318","1,710","14,358","1,349","66,793",538,430
District - Jamui,Rural,"316,460","248,664","1,484","12,830","1,268","51,465",361,388
District - Jamui,Urban,"29,036","11,654",226,"1,528",81,"15,328",177,42
