Name,Type,Total,Bank,Radio,Television,ComputerInternet,ComputerNoInternet,Landline,Mobile,Both,Bicycle,Scooter,Car
District - Samba,Rural," 53,197 "," 45,085 "," 10,722 "," 39,052 ", 687 ," 2,574 "," 2,137 "," 36,870 "," 3,172 "," 11,840 "," 14,125 "," 2,903 "
District - Samba,Urban," 9,620 "," 8,449 "," 1,744 "," 8,559 ", 305 , 899 , 450 ," 7,025 "," 1,082 "," 1,813 "," 3,539 "," 1,190 "
District - Chamba,Total," 101,972 "," 91,309 "," 25,935 "," 62,233 "," 1,615 "," 3,502 "," 2,362 "," 64,850 "," 6,783 "," 1,657 "," 8,880 "," 5,074 "
District - Chamba,Rural," 94,574 "," 84,579 "," 24,578 "," 55,646 ", 916 ," 2,689 "," 1,858 "," 60,502 "," 4,936 "," 1,120 "," 6,534 "," 3,481 "
District - Chamba,Urban," 7,398 "," 6,730 "," 1,357 "," 6,587 ", 699 , 813 , 504 ," 4,348 "," 1,847 ", 537 ," 2,346 "," 1,593 "
District - Kangra,Total," 336,407 "," 315,900 "," 74,758 "," 272,579 "," 8,053 "," 14,700 "," 27,803 "," 203,232 "," 43,145 "," 38,456 "," 69,192 "," 22,727 "
District - Kangra,Rural," 316,419 "," 298,291 "," 69,322 "," 255,177 "," 6,169 "," 12,464 "," 26,366 "," 191,174 "," 38,869 "," 36,589 "," 62,945 "," 19,132 "
District - Kangra,Urban," 19,988 "," 17,609 "," 5,436 "," 17,402 "," 1,884 "," 2,236 "," 1,437 "," 12,058 "," 4,276 "," 1,867 "," 6,247 "," 3,595 "
District - Lahul & Spiti,Total," 6,695 "," 6,108 "," 2,489 "," 4,938 ", 61 , 191 , 452 ," 3,100 "," 1,443 ", 108 , 564 , 536 
District - Lahul & Spiti,Rural," 6,695 "," 6,108 "," 2,489 "," 4,938 ", 61 , 191 , 452 ," 3,100 "," 1,443 ", 108 , 564 , 536 
District - Lahul & Spiti,Urban, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
District - Kullu,Total," 95,545 "," 85,503 "," 21,750 "," 66,910 "," 2,623 "," 4,387 "," 2,271 "," 68,134 "," 9,049 "," 2,450 "," 6,979 "," 8,479 "
District - Kullu,Rural," 84,501 "," 75,581 "," 19,440 "," 57,533 "," 1,440 "," 3,025 "," 1,908 "," 60,178 "," 7,100 "," 1,473 "," 5,063 "," 6,272 "
District - Kullu,Urban," 11,044 "," 9,922 "," 2,310 "," 9,377 "," 1,183 "," 1,362 ", 363 ," 7,956 "," 1,949 ", 977 ," 1,916 "," 2,207 "
District - Mandi,Total," 219,994 "," 201,089 "," 53,382 "," 157,314 "," 5,333 "," 11,068 "," 21,431 "," 119,439 "," 31,335 "," 10,927 "," 26,366 "," 15,958 "
District - Mandi,Rural," 204,051 "," 186,488 "," 49,682 "," 143,478 "," 3,587 "," 8,739 "," 20,084 "," 110,412 "," 27,024 "," 9,040 "," 20,972 "," 12,184 "
District - Mandi,Urban," 15,943 "," 14,601 "," 3,700 "," 13,836 "," 1,746 "," 2,329 "," 1,347 "," 9,027 "," 4,311 "," 1,887 "," 5,394 "," 3,774 "
