Name,Type,Total,TapwaterTreated,TapwaterUntreated,CoveredWell,UncoveredWell,Handpump,Tubewell,Spring,River,Tank,Other
District - West Kameng,Urban," 3,863 "," 2,708 "," 1,105 ", 3 , -   , -   , -   , 31 , -   , -   , 16 
District - East Kameng,Total," 14,610 "," 4,943 "," 6,238 ", 79 , 296 , 2 , 44 ," 1,375 "," 1,309 ", 164 , 160 
District - East Kameng,Rural," 11,078 "," 3,022 "," 4,864 ", 66 , 292 , 2 , 44 ," 1,256 "," 1,268 ", 160 , 104 
District - East Kameng,Urban," 3,532 "," 1,921 "," 1,374 ", 13 , 4 , -   , -   , 119 , 41 , 4 , 56 
District - Papum Pare,Total," 33,476 "," 19,052 "," 6,011 "," 1,895 "," 2,472 ", 160 , 502 , 976 ," 1,653 ", 346 , 409 
District - Papum Pare,Rural," 13,537 "," 4,259 "," 3,908 ", 793 ," 1,806 ", 118 , 210 , 642 ," 1,318 ", 173 , 310 
District - Papum Pare,Urban," 19,939 "," 14,793 "," 2,103 "," 1,102 ", 666 , 42 , 292 , 334 , 335 , 173 , 99 
District - Upper Subansiri,Total," 15,541 "," 3,715 "," 7,997 ", 54 , 112 , 36 , 11 , 903 , 978 , 106 ," 1,629 "
District - Upper Subansiri,Rural," 12,952 "," 1,876 "," 7,299 ", 52 , 110 , 36 , 11 , 902 , 970 , 104 ," 1,592 "
District - Upper Subansiri,Urban," 2,589 "," 1,839 ", 698 , 2 , 2 , -   , -   , 1 , 8 , 2 , 37 
District - West Siang,Total," 20,474 "," 3,933 "," 13,456 ", 85 , 199 , 457 , 84 , 882 , 914 , 27 , 437 
District - West Siang,Rural," 15,387 "," 2,900 "," 10,129 ", 67 , 13 , 78 , 31 , 824 , 905 , 25 , 415 
District - West Siang,Urban," 5,087 "," 1,033 "," 3,327 ", 18 , 186 , 379 , 53 , 58 , 9 , 2 , 22 
District - East Siang,Total," 19,095 "," 4,484 "," 8,470 ", 163 , 733 ," 3,343 ", 455 , 485 , 633 , 135 , 194 
District - East Siang,Rural," 12,904 "," 2,503 "," 5,818 ", 132 , 668 ," 2,324 ", 199 , 427 , 594 , 133 , 106 
District - East Siang,Urban," 6,191 "," 1,981 "," 2,652 ", 31 , 65 ," 1,019 ", 256 , 58 , 39 , 2 , 88 
District - Upper Siang,Total," 7,186 "," 3,308 "," 3,488 ", 8 , 7 , -   , 1 , 220 , 35 , 5 , 114 
District - Upper Siang,Rural," 5,652 "," 2,504 "," 2,768 ", 7 , 7 , -   , 1 , 217 , 30 , 5 , 113 
District - Upper Siang,Urban," 1,534 ", 804 , 720 , 1 , -   , -   , -   , 3 , 5 , -   , 1 
District - Changlang,Total," 28,428 "," 2,425 "," 9,872 ", 302 ," 3,501 "," 7,107 "," 2,057 ", 979 ," 1,748 ", 52 , 385 
District - Changlang,Rural," 24,444 "," 1,998 "," 6,697 ", 281 ," 3,335 "," 7,105 "," 2,050 ", 862 ," 1,683 ", 52 , 381 
District - Changlang,Urban," 3,984 ", 427 ," 3,175 ", 21 , 166 , 2 , 7 , 117 , 65 , -   , 4 
District - Tirap,Total," 19,485 "," 4,639 "," 7,292 ", 110 ," 1,425 ", 16 , 117 ," 3,127 "," 1,627 ", 384 , 748 
District - Tirap,Rural," 15,458 "," 3,343 "," 5,960 ", 20 , 529 , 11 , 112 ," 2,885 "," 1,507 ", 379 , 712 
District - Tirap,Urban," 4,027 "," 1,296 "," 1,332 ", 90 , 896 , 5 , 5 , 242 , 120 , 5 , 36 
District - Lower Subansiri,Total," 15,134 "," 3,525 "," 9,306 ", 116 , 505 , -   , 142 , 425 , 600 , 169 , 346 
District - Lower Subansiri,Rural," 12,066 "," 2,197 "," 7,613 ", 102 , 495 , -   , 142 , 410 , 596 , 169 , 342 
District - Lower Subansiri,Urban," 3,068 "," 1,328 "," 1,693 ", 14 , 10 , -   , -   , 15 , 4 , -   , 4 
District - Kurung Kumey,Total," 15,962 "," 1,736 "," 5,034 ", 29 , 951 , -   , 99 ," 3,613 "," 2,385 ", 390 ," 1,725 "
District - Kurung Kumey,Rural," 15,417 "," 1,477 "," 4,763 ", 28 , 951 , -   , 99 ," 3,611 "," 2,384 ", 390 ," 1,714 "
District - Kurung Kumey,Urban, 545 , 259 , 271 , 1 , -   , -   , -   , 2 , 1 , -   , 11 
District - Dibang Valley,Total," 1,871 ", 352 ," 1,297 ", 2 , 6 , 0, 0, 44 , 92 , 7 , 71 
District - Dibang Valley,Rural," 1,297 ", 230 , 850 , 2 , 6 , 0, 0, 44 , 92 , 7 , 66 
District - Dibang Valley,Urban, 574 , 122 , 447 , 0   ,0 , 0,0,0,0,0, 5 
District - Lower Dibang Valley,Total," 10,883 "," 1,286 "," 5,773 ", 24 , 154 ," 2,438 ", 139 , 81 , 750 , 16 , 222 
District - Lower Dibang Valley,Rural," 8,626 "," 1,177 "," 3,731 ", 24 , 154 ," 2,438 ", 139 , 58 , 749 , 16 , 140 
District - Lower Dibang Valley,Urban," 2,257 ", 109 ," 2,042 ", -   , -   , -   , -   , 23 , 1 , -   , 82 
District - Lohit,Total," 29,407 "," 1,328 "," 7,172 ", 647 , 925 ," 14,307 "," 2,548 ", 104 ," 1,739 ", 181 , 456 
District - Lohit,Rural," 22,412 ", 882 ," 3,419 ", 632 , 904 ," 12,022 "," 2,175 ", 104 ," 1,697 ", 177 , 400 
District - Lohit,Urban," 6,995 ", 446 ," 3,753 ", 15 , 21 ," 2,285 ", 373 , -   , 42 , 4 , 56 
District - Anjaw,Total," 4,180 "," 1,238 "," 2,386 ", 6 , 3 , -   , -   , 150 , 238 , 38 , 121 
District - Anjaw,Rural," 4,060 "," 1,164 "," 2,340 ", 6 , 3 , -   , -   , 150 , 238 , 38 , 121 
District - Anjaw,Urban, 120 , 74 , 46 , -   , -   , -   , -   , -   , -   , -   , -   
District - Kokrajhar,Total," 180,071 "," 3,858 "," 1,240 "," 2,627 "," 63,325 "," 73,177 "," 23,313 "," 1,406 "," 3,748 ", 379 ," 6,998 "
District - Kokrajhar,Rural," 168,278 "," 3,265 ", 966 ," 2,380 "," 59,783 "," 68,697 "," 20,719 "," 1,404 "," 3,733 ", 378 ," 6,953 "
