Name,Type,Total,Grass,Plastic,Mud,Wood,Stone,StoneMortar,Metal,BurntBrick,Concrete,Other
District - Anantapur,Total,"1,096,262","13,534","1,384","77,220","5,880","117,873","249,136","3,397","592,101","15,221","20,516"
District - Anantapur,Rural,"789,853","11,408",839,"60,324","4,717","94,522","176,300","2,227","416,651","7,634","15,231"
District - Anantapur,Urban,"306,409","2,126",545,"16,896","1,163","23,351","72,836","1,170","175,450","7,587","5,285"
District - Chittoor,Total,"1,155,371","20,412","1,263","157,945","1,700","20,108","237,558","1,393","693,979","17,549","3,464"
District - Chittoor,Rural,"806,190","17,875",967,"138,927","1,337","15,440","153,078",859,"467,308","8,030","2,369"
District - Chittoor,Urban,"349,181","2,537",296,"19,018",363,"4,668","84,480",534,"226,671","9,519","1,095"
STATE - ARUNACHAL PRADESH,Total,"339,823","201,697","5,039","6,387","34,558","9,009","7,849","3,171","23,274","32,874","15,965"
STATE - ARUNACHAL PRADESH,Rural,"249,860","170,797","3,993","3,921","27,567","6,662","4,552","1,730","10,075","12,899","7,664"
STATE - ARUNACHAL PRADESH,Urban,"89,963","30,900","1,046","2,466","6,991","2,347","3,297","1,441","13,199","19,975","8,301"
District - Tawang,Total,"11,151",900,50,77,923,"3,852","1,424",263,433,"1,147","2,082"
District - Tawang,Rural,"9,052",866,46,71,789,"3,842","1,223",241,104,671,"1,199"
District - Tawang,Urban,"2,099",34,4,6,134,10,201,22,329,476,883
District - West Kameng,Total,"20,542","5,231",292,924,"4,004","1,844","1,043",184,"1,563","3,280","2,177"
District - West Kameng,Rural,"15,129","4,566",222,672,"3,574","1,679",719,119,993,"1,626",959
District - West Kameng,Urban,"5,413",665,70,252,430,165,324,65,570,"1,654","1,218"
District - East Kameng,Total,"18,173","12,487",542,771,"1,362",128,140,133,710,"1,437",463
District - East Kameng,Rural,"13,582","10,636",442,278,987,69,61,34,269,364,442
District - East Kameng,Urban,"4,591","1,851",100,493,375,59,79,99,441,"1,073",21
District - Papum Pare,Total,"44,112","19,350",762,881,948,"1,147","1,285",449,"10,625","7,863",802
District - Papum Pare,Rural,"18,041","11,377",387,425,604,259,114,105,"3,226","1,258",286
District - Papum Pare,Urban,"26,071","7,973",375,456,344,888,"1,171",344,"7,399","6,605",516
District - Upper Subansiri,Total,"17,675","13,686",407,192,"1,289",33,218,131,270,894,555
District - Upper Subansiri,Rural,"14,070","11,976",375,86,700,23,161,48,134,267,300
District - Upper Subansiri,Urban,"3,605","1,710",32,106,589,10,57,83,136,627,255
District - West Siang,Total,"27,450","16,122",356,328,"4,748",355,660,102,"1,046","2,729","1,004"
District - West Siang,Rural,"20,287","13,334",288,293,"4,248",50,293,71,398,"1,073",239
District - West Siang,Urban,"7,163","2,788",68,35,500,305,367,31,648,"1,656",765
District - East Siang,Total,"26,727","16,442",248,583,"2,736",248,593,245,"1,156","3,523",953
District - East Siang,Rural,"18,636","12,807",150,226,"2,329",106,160,172,797,"1,572",317
District - East Siang,Urban,"8,091","3,635",98,357,407,142,433,73,359,"1,951",636
District - Upper Siang,Total,"9,703","3,385",146,218,"3,991",107,129,99,325,"1,052",251
District - Upper Siang,Rural,"7,649","2,495",130,150,"3,852",25,34,84,237,523,119
District - Upper Siang,Urban,"2,054",890,16,68,139,82,95,15,88,529,132
District - Changlang,Total,"37,483","27,710",362,424,"2,419",142,79,356,"2,718","1,356","1,917"
District - Changlang,Rural,"31,723","25,492",319,354,"1,519",117,62,100,"1,618",851,"1,291"
District - Changlang,Urban,"5,760","2,218",43,70,900,25,17,256,"1,100",505,626
District - Tirap,Total,"22,856","17,490",106,271,937,103,397,434,"1,560","1,348",210
District - Tirap,Rural,"17,641","15,461",64,112,170,26,283,220,669,499,137
District - Tirap,Urban,"5,215","2,029",42,159,767,77,114,214,891,849,73
District - Lower Subansiri,Total,"20,605","12,200",245,193,"2,987",272,233,192,877,"2,652",754
District - Lower Subansiri,Rural,"16,341","11,076",192,115,"2,159",119,192,136,558,"1,155",639
District - Lower Subansiri,Urban,"4,264","1,124",53,78,828,153,41,56,319,"1,497",115
District - Kurung Kumey,Total,"18,467","16,229",507,92,851,56,224,74,184,209,41
District - Kurung Kumey,Rural,"17,705","15,866",465,40,708,37,219,74,104,166,26
District - Kurung Kumey,Urban,762,363,42,52,143,19,5,0,80,43,15
District - Dibang Valley,Total,"2,665","1,668",67,35,273,205,83,27,3,165,139
District - Dibang Valley,Rural,"1,887","1,276",54,6,256,75,78,25,2,84,31
District - Dibang Valley,Urban,778,392,13,29,17,130,5,2,1,81,108
District - Lower Dibang Valley,Total,"14,557","6,868",357,497,"2,184",93,314,43,369,"1,301","2,531"
District - Lower Dibang Valley,Rural,"10,936","6,118",332,461,"2,025",83,310,32,152,917,506
