Name,Type,Total,Grass,Plastic,HandmadeTiles,MachinemadeTiles,BurntBrick,Stone,Metal,Concrete,Other
District - East Kameng,Rural,"13,582","5,366",67,110,34,13,59,"7,740",65,128
District - East Kameng,Urban,"4,591",16,6,14,20,43,95,"3,828",545,24
District - Papum Pare,Total,"44,112","3,908",269,256,136,462,"1,335","28,897","8,431",418
District - Papum Pare,Rural,"18,041","3,056",166,48,24,85,360,"12,719","1,355",228
District - Papum Pare,Urban,"26,071",852,103,208,112,377,975,"16,178","7,076",190
District - Upper Subansiri,Total,"17,675","11,258",192,166,14,24,82,"4,621",548,770
District - Upper Subansiri,Rural,"14,070","10,392",182,144,14,19,65,"2,376",119,759
District - Upper Subansiri,Urban,"3,605",866,10,22,0,5,17,"2,245",429,11
District - West Siang,Total,"27,450","16,222",32,20,93,12,217,"8,959","1,668",227
District - West Siang,Rural,"20,287","14,365",27,11,9,7,113,"5,444",285,26
District - West Siang,Urban,"7,163","1,857",5,9,84,5,104,"3,515","1,383",201
District - East Siang,Total,"26,727","15,660",111,102,32,39,197,"9,391","1,090",105
District - East Siang,Rural,"18,636","13,014",63,15,14,16,141,"5,064",243,66
District - East Siang,Urban,"8,091","2,646",48,87,18,23,56,"4,327",847,39
District - Upper Siang,Total,"9,703","4,133",13,7,3,7,30,"4,916",230,364
District - Upper Siang,Rural,"7,649","3,476",11,1,1,4,9,"3,708",83,356
District - Upper Siang,Urban,"2,054",657,2,6,2,3,21,"1,208",147,8
District - Changlang,Total,"37,483","21,593",81,113,8,22,177,"15,037",405,47
District - Changlang,Rural,"31,723","20,282",66,109,8,18,141,"10,897",170,32
District - Changlang,Urban,"5,760","1,311",15,4,0,4,36,"4,140",235,15
District - Tirap,Total,"22,856","15,919",23,11,22,20,146,"6,164",477,74
District - Tirap,Rural,"17,641","14,477",12,10,16,15,102,"2,818",120,71
District - Tirap,Urban,"5,215","1,442",11,1,6,5,44,"3,346",357,3
District - Lower Subansiri,Total,"20,605","2,520",167,105,6,61,206,"16,322","1,164",54
District - Lower Subansiri,Rural,"16,341","2,459",155,91,5,40,130,"12,955",495,11
District - Lower Subansiri,Urban,"4,264",61,12,14,1,21,76,"3,367",669,43
District - Kurung Kumey,Total,"18,467","10,020",43,169,16,6,424,"7,639",85,65
District - Kurung Kumey,Rural,"17,705","9,992",29,147,14,2,399,"6,991",68,63
District - Kurung Kumey,Urban,762,28,14,22,2,4,25,648,17,2
District - Dibang Valley,Total,"2,665","1,176",31,36,1,1,35,"1,096",10,279
District - Dibang Valley,Rural,"1,887","1,022",29,36,1,1,35,739,6,18
District - Dibang Valley,Urban,778,154,2,0,0,0,0,357,4,261
District - Lower Dibang Valley,Total,"14,557","6,487",164,44,24,5,105,"7,225",425,78
District - Lower Dibang Valley,Rural,"10,936","6,284",79,41,23,5,92,"4,226",114,72
District - Lower Dibang Valley,Urban,"3,621",203,85,3,1,0,13,"2,999",311,6
District - Lohit,Total,"41,938","23,759",110,68,35,52,107,"16,841",481,485
District - Lohit,Rural,"31,768","20,937",73,39,25,42,73,"10,001",112,466
District - Lohit,Urban,"10,170","2,822",37,29,10,10,34,"6,840",369,19
District - Anjaw,Total,"5,719","2,682",43,3,2,1,38,"2,926",21,3
District - Anjaw,Rural,"5,413","2,643",43,3,1,1,38,"2,660",21,3
District - Anjaw,Urban,306,39,0,0,1,0,0,266,0,0
STATE - ASSAM,Total,"8,756,707","1,752,172","238,424","61,659","21,488","13,320","74,502","6,298,932","277,445","18,765"
STATE - ASSAM,Rural,"7,400,278","1,710,231","227,661","52,274","18,002","8,983","40,739","5,274,847","51,669","15,872"
STATE - ASSAM,Urban,"1,356,429","41,941","10,763","9,385","3,486","4,337","33,763","1,024,085","225,776","2,893"
District - Kokrajhar,Total,"217,268","32,714","16,140","7,319","3,435","1,109","1,595","152,251","2,288",417
District - Kokrajhar,Rural,"201,422","32,502","15,959","6,990","3,292",990,"1,239","139,027","1,024",399
District - Kokrajhar,Urban,"15,846",212,181,329,143,119,356,"13,224","1,264",18
District - Dhubri,Total,"512,100","56,440","25,566","18,095","8,234","1,040","2,744","392,457","6,766",758
District - Dhubri,Rural,"455,127","55,297","25,068","15,571","6,963",780,"1,936","347,575","1,315",622
District - Dhubri,Urban,"56,973","1,143",498,"2,524","1,271",260,808,"44,882","5,451",136
District - Goalpara,Total,"261,596","30,309","6,055","1,203",642,192,"1,154","220,243","1,611",187
District - Goalpara,Rural,"224,331","29,184","5,419",963,563,163,"1,021","186,253",609,156
District - Goalpara,Urban,"37,265","1,125",636,240,79,29,133,"33,990","1,002",31
District - Barpeta,Total,"487,333","74,254","24,786",705,124,256,"1,788","380,527","4,489",404
District - Barpeta,Rural,"439,068","73,559","24,480",669,105,210,"1,172","337,619",883,371
District - Barpeta,Urban,"48,265",695,306,36,19,46,616,"42,908","3,606",33
District - Marigaon,Total,"251,219","60,056","8,366",404,252,157,676,"178,554","2,457",297
District - Marigaon,Rural,"227,894","59,228","8,110",360,249,120,528,"158,495",540,264
District - Marigaon,Urban,"23,325",828,256,44,3,37,148,"20,059","1,917",33
District - Nagaon,Total,"772,078","200,202","26,491","2,172",548,678,"4,924","519,904","16,226",933
District - Nagaon,Rural,"657,628","196,067","25,688","1,909",488,437,"2,622","426,000","3,626",791
District - Nagaon,Urban,"114,450","4,135",803,263,60,241,"2,302","93,904","12,600",142
District - Sonitpur,Total,"529,241","115,233","10,830","1,291",268,649,"4,362","386,389","9,973",246
District - Sonitpur,Rural,"469,542","114,149","10,056","1,115",178,460,"3,422","338,163","1,804",195
District - Sonitpur,Urban,"59,699","1,084",774,176,90,189,940,"48,226","8,169",51
District - Lakhimpur,Total,"318,352","77,523","4,140",758,85,172,"1,170","229,698","4,528",278
District - Lakhimpur,Rural,"287,216","76,807","3,961",604,70,126,788,"203,487","1,119",254
