Name,Type,Total,Electricity,Kerosene,Solar,OtherOil,Other,None
District - Alirajpur,Urban," 	10,410 "," 	9,911 ", 	450 , 	8 , 	20 , 	3 , 	18 
District - East Nimar,Total," 	265,657 "," 	202,710 "," 	60,606 ", 	241 , 	497 , 	284 ," 	1,319 "
District - East Nimar,Rural," 	216,711 "," 	156,945 "," 	57,758 ", 	211 , 	410 , 	203 ," 	1,184 "
District - East Nimar,Urban," 	48,946 "," 	45,765 "," 	2,848 ", 	30 , 	87 , 	81 , 	135 
District - Burhanpur,Total," 	144,154 "," 	112,420 "," 	30,487 ", 	101 , 	322 , 	92 , 	732 
District - Burhanpur,Rural," 	96,440 "," 	67,306 "," 	28,206 ", 	85 , 	267 , 	55 , 	521 
District - Burhanpur,Urban," 	47,714 "," 	45,114 "," 	2,281 ", 	16 , 	55 , 	37 , 	211 
STATE - MAHARASHTRA,Total," 	23,830,580 "," 	20,004,164 "," 	3,446,376 "," 	57,589 "," 	39,630 "," 	67,710 "," 	215,111 "
STATE - MAHARASHTRA,Rural," 	13,016,652 "," 	9,605,299 "," 	3,107,049 "," 	48,506 "," 	32,422 "," 	51,490 "," 	171,886 "
STATE - MAHARASHTRA,Urban," 	10,813,928 "," 	10,398,865 "," 	339,327 "," 	9,083 "," 	7,208 "," 	16,220 "," 	43,225 "
District - Nandurbar,Total," 	319,623 "," 	186,202 "," 	104,256 "," 	18,490 "," 	1,050 "," 	2,029 "," 	7,596 "
District - Nandurbar,Rural," 	270,533 "," 	142,704 "," 	99,967 "," 	18,438 ", 	950 ," 	1,866 "," 	6,608 "
District - Nandurbar,Urban," 	49,090 "," 	43,498 "," 	4,289 ", 	52 , 	100 , 	163 , 	988 
District - Dhule,Total," 	408,700 "," 	315,332 "," 	84,208 ", 	967 , 	888 ," 	1,137 "," 	6,168 "
District - Dhule,Rural," 	298,915 "," 	211,375 "," 	79,818 ", 	930 , 	839 , 	780 ," 	5,173 "
District - Dhule,Urban," 	109,785 "," 	103,957 "," 	4,390 ", 	37 , 	49 , 	357 , 	995 
District - Jalgaon,Total," 	891,657 "," 	720,791 "," 	146,381 "," 	1,127 "," 	2,031 "," 	6,036 "," 	15,291 "
District - Jalgaon,Rural," 	618,314 "," 	463,651 "," 	135,013 ", 	989 ," 	1,689 "," 	4,785 "," 	12,187 "
District - Jalgaon,Urban," 	273,343 "," 	257,140 "," 	11,368 ", 	138 , 	342 ," 	1,251 "," 	3,104 "
District - Buldana,Total," 	553,031 "," 	423,036 "," 	119,338 "," 	1,057 "," 	1,440 "," 	1,943 "," 	6,217 "
District - Buldana,Rural," 	445,247 "," 	326,847 "," 	109,206 ", 	953 ," 	1,315 "," 	1,564 "," 	5,362 "
District - Buldana,Urban," 	107,784 "," 	96,189 "," 	10,132 ", 	104 , 	125 , 	379 , 	855 
District - Akola,Total," 	391,135 "," 	314,490 "," 	69,988 ", 	494 , 	648 ," 	1,735 "," 	3,780 "
District - Akola,Rural," 	247,752 "," 	183,510 "," 	59,873 ", 	336 , 	410 ," 	1,040 "," 	2,583 "
District - Akola,Urban," 	143,383 "," 	130,980 "," 	10,115 ", 	158 , 	238 , 	695 ," 	1,197 "
District - Washim,Total," 	257,892 "," 	196,022 "," 	56,395 ", 	505 , 	702 ," 	1,029 "," 	3,239 "
District - Washim,Rural," 	217,490 "," 	160,443 "," 	52,548 ", 	465 , 	608 , 	783 ," 	2,643 "
District - Washim,Urban," 	40,402 "," 	35,579 "," 	3,847 ", 	40 , 	94 , 	246 , 	596 
District - Amravati,Total," 	637,446 "," 	512,492 "," 	112,481 "," 	2,506 "," 	1,207 "," 	2,398 "," 	6,362 "
District - Amravati,Rural," 	424,563 "," 	314,699 "," 	100,732 "," 	2,307 "," 	1,021 "," 	1,661 "," 	4,143 "
District - Amravati,Urban," 	212,883 "," 	197,793 "," 	11,749 ", 	199 , 	186 , 	737 ," 	2,219 "
District - Wardha,Total," 	302,680 "," 	266,155 "," 	32,705 ", 	352 , 	371 , 	413 ," 	2,684 "
District - Wardha,Rural," 	210,284 "," 	178,443 "," 	28,788 ", 	271 , 	278 , 	349 ," 	2,155 "
District - Wardha,Urban," 	92,396 "," 	87,712 "," 	3,917 ", 	81 , 	93 , 	64 , 	529 
District - Nagpur,Total," 	995,808 "," 	917,626 "," 	66,828 ", 	873 ," 	1,281 "," 	2,370 "," 	6,830 "
District - Nagpur,Rural," 	324,568 "," 	267,600 "," 	50,929 ", 	569 , 	787 ," 	1,103 "," 	3,580 "
District - Nagpur,Urban," 	671,240 "," 	650,026 "," 	15,899 ", 	304 , 	494 ," 	1,267 "," 	3,250 "
District - Bhandara,Total," 	275,773 "," 	227,025 "," 	44,659 ", 	315 , 	650 , 	319 ," 	2,805 "
District - Bhandara,Rural," 	223,299 "," 	177,263 "," 	42,394 ", 	273 , 	619 , 	284 ," 	2,466 "
District - Bhandara,Urban," 	52,474 "," 	49,762 "," 	2,265 ", 	42 , 	31 , 	35 , 	339 
District - Gondiya,Total," 	289,431 "," 	239,981 "," 	45,271 ", 	277 , 	848 , 	383 ," 	2,671 "
District - Gondiya,Rural," 	241,802 "," 	196,252 "," 	42,112 ", 	233 , 	746 , 	287 ," 	2,172 "
District - Gondiya,Urban," 	47,629 "," 	43,729 "," 	3,159 ", 	44 , 	102 , 	96 , 	499 
District - Garhchiroli,Total," 	245,745 "," 	145,459 "," 	89,992 "," 	3,545 ", 	797 , 	583 ," 	5,369 "
District - Garhchiroli,Rural," 	218,935 "," 	121,155 "," 	87,864 "," 	3,511 ", 	759 , 	555 ," 	5,091 "
District - Garhchiroli,Urban," 	26,810 "," 	24,304 "," 	2,128 ", 	34 , 	38 , 	28 , 	278 
District - Chandrapur,Total," 	529,612 "," 	418,666 "," 	102,687 ", 	572 , 	857 , 	701 ," 	6,129 "
District - Chandrapur,Rural," 	352,643 "," 	254,066 "," 	92,448 ", 	457 , 	658 , 	480 ," 	4,534 "
District - Chandrapur,Urban," 	176,969 "," 	164,600 "," 	10,239 ", 	115 , 	199 , 	221 ," 	1,595 "
District - Yavatmal,Total," 	640,385 "," 	446,516 "," 	178,739 "," 	1,230 "," 	1,486 "," 	3,804 "," 	8,610 "
District - Yavatmal,Rural," 	513,041 "," 	330,291 "," 	169,575 "," 	1,103 "," 	1,378 "," 	3,224 "," 	7,470 "
District - Yavatmal,Urban," 	127,344 "," 	116,225 "," 	9,164 ", 	127 , 	108 , 	580 ," 	1,140 "
District - Nanded,Total," 	656,303 "," 	488,748 "," 	147,320 "," 	1,235 "," 	1,945 "," 	5,322 "," 	11,733 "
District - Nanded,Rural," 	487,624 "," 	332,383 "," 	138,190 "," 	1,060 "," 	1,683 "," 	4,691 "," 	9,617 "
District - Nanded,Urban," 	168,679 "," 	156,365 "," 	9,130 ", 	175 , 	262 , 	631 ," 	2,116 "
District - Hingoli,Total," 	227,041 "," 	159,114 "," 	61,767 ", 	339 , 	760 ," 	1,459 "," 	3,602 "
District - Hingoli,Rural," 	195,143 "," 	129,622 "," 	59,861 ", 	296 , 	736 ," 	1,353 "," 	3,275 "
District - Hingoli,Urban," 	31,898 "," 	29,492 "," 	1,906 ", 	43 , 	24 , 	106 , 	327 
District - Parbhani,Total," 	360,186 "," 	272,486 "," 	74,451 ", 	700 ," 	1,395 "," 	4,011 "," 	7,143 "
District - Parbhani,Rural," 	256,063 "," 	178,020 "," 	67,735 ", 	482 ," 	1,216 "," 	3,424 "," 	5,186 "
District - Parbhani,Urban," 	104,123 "," 	94,466 "," 	6,716 ", 	218 , 	179 , 	587 ," 	1,957 "
District - Jalna,Total," 	388,116 "," 	288,895 "," 	88,866 ", 	762 ," 	1,177 "," 	3,155 "," 	5,261 "
District - Jalna,Rural," 	318,563 "," 	223,954 "," 	85,705 ", 	609 ," 	1,055 "," 	2,721 "," 	4,519 "
District - Jalna,Urban," 	69,553 "," 	64,941 "," 	3,161 ", 	153 , 	122 , 	434 , 	742 
District - Aurangabad,Total," 	736,587 "," 	589,477 "," 	129,955 "," 	1,000 "," 	1,677 "," 	4,367 "," 	10,111 "
District - Aurangabad,Rural," 	419,120 "," 	281,642 "," 	122,901 ", 	751 ," 	1,445 "," 	3,721 "," 	8,660 "
District - Aurangabad,Urban," 	317,467 "," 	307,835 "," 	7,054 ", 	249 , 	232 , 	646 ," 	1,451 "
District - Nashik,Total," 	1,180,293 "," 	904,710 "," 	257,841 "," 	3,430 "," 	2,696 "," 	2,926 "," 	8,690 "
District - Nashik,Rural," 	661,977 "," 	411,152 "," 	237,837 "," 	2,837 "," 	2,083 "," 	1,395 "," 	6,673 "
District - Nashik,Urban," 	518,316 "," 	493,558 "," 	20,004 ", 	593 , 	613 ," 	1,531 "," 	2,017 "
District - Thane,Total," 	2,430,616 "," 	2,231,800 "," 	181,058 "," 	3,490 "," 	1,649 "," 	3,045 "," 	9,574 "
District - Thane,Rural," 	526,397 "," 	369,450 "," 	145,889 "," 	1,843 ", 	823 ," 	1,458 "," 	6,934 "
District - Thane,Urban," 	1,904,219 "," 	1,862,350 "," 	35,169 "," 	1,647 ", 	826 ," 	1,587 "," 	2,640 "
District - Mumbai Suburban,Total," 	2,027,743 "," 	1,964,657 "," 	56,251 "," 	1,839 ", 	434 ," 	1,403 "," 	3,159 "
District - Mumbai Suburban,Rural, 	-00 , 	-00 , 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
District - Mumbai Suburban,Urban," 	2,027,743 "," 	1,964,657 "," 	56,251 "," 	1,839 ", 	434 ," 	1,403 "," 	3,159 "
District - Mumbai,Total," 	637,738 "," 	625,927 "," 	9,733 ", 	922 , 	290 , 	214 , 	652 
District - Mumbai,Rural, 	-00 , 	-00 , 	-00 , 	-00 , 	-00 , 	-00 , 	-00 
District - Mumbai,Urban," 	637,738 "," 	625,927 "," 	9,733 ", 	922 , 	290 , 	214 , 	652 
District - Raigarh,Total," 	596,514 "," 	547,206 "," 	43,173 "," 	1,549 ", 	623 , 	538 ," 	3,425 "
District - Raigarh,Rural," 	376,520 "," 	333,096 "," 	38,092 "," 	1,369 ", 	502 , 	469 ," 	2,992 "
District - Raigarh,Urban," 	219,994 "," 	214,110 "," 	5,081 ", 	180 , 	121 , 	69 , 	433 
District - Pune,Total," 	2,076,607 "," 	1,925,019 "," 	134,784 "," 	1,857 "," 	2,424 "," 	2,170 "," 	10,353 "
District - Pune,Rural," 	744,114 "," 	619,760 "," 	112,020 "," 	1,277 "," 	1,827 "," 	1,219 "," 	8,011 "
District - Pune,Urban," 	1,332,493 "," 	1,305,259 "," 	22,764 ", 	580 , 	597 , 	951 ," 	2,342 "
District - Ahmadnagar,Total," 	901,748 "," 	677,592 "," 	206,874 "," 	1,745 "," 	1,703 "," 	2,367 "," 	11,467 "
District - Ahmadnagar,Rural," 	717,718 "," 	502,955 "," 	199,058 "," 	1,542 "," 	1,624 "," 	2,097 "," 	10,442 "
District - Ahmadnagar,Urban," 	184,030 "," 	174,637 "," 	7,816 ", 	203 , 	79 , 	270 ," 	1,025 "
District - Bid,Total," 	545,073 "," 	402,052 "," 	128,468 ", 	958 ," 	1,526 "," 	4,226 "," 	7,843 "
District - Bid,Rural," 	446,114 "," 	310,222 "," 	123,449 ", 	832 ," 	1,368 "," 	3,625 "," 	6,618 "
District - Bid,Urban," 	98,959 "," 	91,830 "," 	5,019 ", 	126 , 	158 , 	601 ," 	1,225 "
District - Latur,Total," 	474,149 "," 	381,722 "," 	83,601 ", 	562 ," 	1,150 "," 	1,771 "," 	5,343 "
District - Latur,Rural," 	359,858 "," 	273,727 "," 	78,531 ", 	431 ," 	1,016 "," 	1,619 "," 	4,534 "
District - Latur,Urban," 	114,291 "," 	107,995 "," 	5,070 ", 	131 , 	134 , 	152 , 	809 
District - Osmanabad,Total," 	348,760 "," 	240,042 "," 	98,787 ", 	490 ," 	1,538 "," 	1,217 "," 	6,686 "
District - Osmanabad,Rural," 	294,816 "," 	191,608 "," 	94,129 ", 	426 ," 	1,416 "," 	1,057 "," 	6,180 "
District - Osmanabad,Urban," 	53,944 "," 	48,434 "," 	4,658 ", 	64 , 	122 , 	160 , 	506 
District - Solapur,Total," 	858,981 "," 	595,560 "," 	247,129 "," 	1,019 "," 	1,794 "," 	2,153 "," 	11,326 "
District - Solapur,Rural," 	583,706 "," 	339,930 "," 	230,387 ", 	854 ," 	1,420 "," 	1,887 "," 	9,228 "
District - Solapur,Urban," 	275,275 "," 	255,630 "," 	16,742 ", 	165 , 	374 , 	266 ," 	2,098 "
District - Satara,Total," 	639,999 "," 	562,653 "," 	70,472 ", 	698 , 	743 , 	685 ," 	4,748 "
District - Satara,Rural," 	518,187 "," 	447,138 "," 	65,081 ", 	640 , 	672 , 	605 ," 	4,051 "
District - Satara,Urban," 	121,812 "," 	115,515 "," 	5,391 ", 	58 , 	71 , 	80 , 	697 
District - Ratnagiri,Total," 	393,379 "," 	367,352 "," 	23,050 ", 	663 , 	343 , 	219 ," 	1,752 "
District - Ratnagiri,Rural," 	333,645 "," 	309,792 "," 	21,198 ", 	611 , 	257 , 	175 ," 	1,612 "
District - Ratnagiri,Urban," 	59,734 "," 	57,560 "," 	1,852 ", 	52 , 	86 , 	44 , 	140 
District - Sindhudurg,Total," 	205,119 "," 	194,228 "," 	9,563 ", 	330 , 	113 , 	81 , 	804 
District - Sindhudurg,Rural," 	180,494 "," 	170,195 "," 	9,037 ", 	327 , 	105 , 	72 , 	758 
District - Sindhudurg,Urban," 	24,625 "," 	24,033 ", 	526 , 	3 , 	8 , 	9 , 	46 
District - Kolhapur,Total," 	821,483 "," 	770,005 "," 	45,766 "," 	1,142 ", 	544 , 	755 ," 	3,271 "
District - Kolhapur,Rural," 	556,628 "," 	512,764 "," 	39,266 "," 	1,005 ", 	416 , 	555 ," 	2,622 "
District - Kolhapur,Urban," 	264,855 "," 	257,241 "," 	6,500 ", 	137 , 	128 , 	200 , 	649 
District - Sangli,Total," 	585,227 "," 	485,126 "," 	93,539 ", 	549 , 	850 , 	746 ," 	4,417 "
District - Sangli,Rural," 	432,579 "," 	339,590 "," 	87,416 ", 	479 , 	701 , 	586 ," 	3,807 "
District - Sangli,Urban," 	152,648 "," 	145,536 "," 	6,123 ", 	70 , 	149 , 	160 , 	610 
STATE - MANIPUR,Total," 	554,713 "," 	384,533 "," 	134,951 "," 	10,022 "," 	2,207 "," 	19,451 "," 	3,549 "
STATE - MANIPUR,Rural," 	383,313 "," 	243,342 "," 	115,688 "," 	9,313 "," 	1,683 "," 	10,531 "," 	2,756 "
STATE - MANIPUR,Urban," 	171,400 "," 	141,191 "," 	19,263 ", 	709 , 	524 ," 	8,920 ", 	793 
District - Senapati,Total," 	82,048 "," 	60,696 "," 	17,420 ", 	963 , 	409 ," 	1,836 ", 	724 
District - Senapati,Rural," 	80,529 "," 	59,188 "," 	17,410 ", 	962 , 	409 ," 	1,836 ", 	724 
District - Senapati,Urban," 	1,519 "," 	1,508 ", 	10 , 	1 , 	-00 , 	-00 , 	-00 
District - Tamenglong,Total," 	24,477 "," 	11,541 "," 	9,885 "," 	2,420 ", 	52 , 	407 , 	172 
District - Tamenglong,Rural," 	21,069 "," 	8,670 "," 	9,383 "," 	2,404 ", 	39 , 	403 , 	170 
District - Tamenglong,Urban," 	3,408 "," 	2,871 ", 	502 , 	16 , 	13 , 	4 , 	2 
District - Churachandpur,Total," 	49,916 "," 	29,894 "," 	14,681 "," 	4,082 ", 	351 , 	424 , 	484 
District - Churachandpur,Rural," 	46,647 "," 	26,685 "," 	14,645 "," 	4,065 ", 	346 , 	423 , 	483 
District - Churachandpur,Urban," 	3,269 "," 	3,209 ", 	36 , 	17 , 	5 , 	1 , 	1 
District - Bishnupur,Total," 	44,891 "," 	34,364 "," 	9,016 ", 	150 , 	56 ," 	1,146 ", 	159 
District - Bishnupur,Rural," 	28,147 "," 	19,969 "," 	7,479 ", 	91 , 	38 , 	510 , 	60 
District - Bishnupur,Urban," 	16,744 "," 	14,395 "," 	1,537 ", 	59 , 	18 , 	636 , 	99 
District - Thoubal,Total," 	85,295 "," 	49,507 "," 	31,709 ", 	168 , 	217 ," 	3,301 ", 	393 
District - Thoubal,Rural," 	54,653 "," 	28,157 "," 	24,808 ", 	117 , 	163 ," 	1,173 ", 	235 
District - Thoubal,Urban," 	30,642 "," 	21,350 "," 	6,901 ", 	51 , 	54 ," 	2,128 ", 	158 
District - Imphal West,Total," 	111,393 "," 	87,078 "," 	16,102 ", 	541 , 	559 ," 	6,600 ", 	513 
District - Imphal West,Rural," 	41,512 "," 	30,795 "," 	8,763 ", 	210 , 	245 ," 	1,349 ", 	150 
District - Imphal West,Urban," 	69,881 "," 	56,283 "," 	7,339 ", 	331 , 	314 ," 	5,251 ", 	363 
District - Imphal East,Total," 	91,806 "," 	78,663 "," 	12,002 ", 	266 , 	118 , 	603 , 	154 
District - Imphal East,Rural," 	54,014 "," 	43,389 "," 	10,113 ", 	170 , 	45 , 	216 , 	81 
District - Imphal East,Urban," 	37,792 "," 	35,274 "," 	1,889 ", 	96 , 	73 , 	387 , 	73 
District - Ukhrul,Total," 	35,790 "," 	14,026 "," 	15,834 "," 	1,072 ", 	370 ," 	3,829 ", 	659 
District - Ukhrul,Rural," 	30,882 "," 	10,836 "," 	14,901 ", 	936 , 	325 ," 	3,319 ", 	565 
District - Ukhrul,Urban," 	4,908 "," 	3,190 ", 	933 , 	136 , 	45 , 	510 , 	94 
District - Chandel,Total," 	29,097 "," 	18,764 "," 	8,302 ", 	360 , 	75 ," 	1,305 ", 	291 
District - Chandel,Rural," 	25,860 "," 	15,653 "," 	8,186 ", 	358 , 	73 ," 	1,302 ", 	288 
District - Chandel,Urban," 	3,237 "," 	3,111 ", 	116 , 	2 , 	2 , 	3 , 	3 
STATE - MEGHALAYA,Total," 	538,299 "," 	327,958 "," 	199,046 "," 	4,302 "," 	1,542 "," 	1,302 "," 	4,149 "
STATE - MEGHALAYA,Rural," 	422,197 "," 	217,739 "," 	193,949 "," 	4,224 "," 	1,401 "," 	1,116 "," 	3,768 "
STATE - MEGHALAYA,Urban," 	116,102 "," 	110,219 "," 	5,097 ", 	78 , 	141 , 	186 , 	381 
District - West Garo Hills,Total," 	121,780 "," 	51,301 "," 	68,421 "," 	1,027 ", 	166 , 	56 , 	809 
District - West Garo Hills,Rural," 	107,941 "," 	38,892 "," 	67,124 "," 	1,016 ", 	129 , 	50 , 	730 
District - West Garo Hills,Urban," 	13,839 "," 	12,409 "," 	1,297 ", 	11 , 	37 , 	6 , 	79 
District - East Garo Hills,Total," 	57,357 "," 	24,550 "," 	31,773 ", 	566 , 	87 , 	82 , 	299 
District - East Garo Hills,Rural," 	49,612 "," 	17,596 "," 	31,045 ", 	558 , 	77 , 	80 , 	256 
District - East Garo Hills,Urban," 	7,745 "," 	6,954 ", 	728 , 	8 , 	10 , 	2 , 	43 
District - South Garo Hills,Total," 	24,208 "," 	10,940 "," 	12,337 ", 	530 , 	22 , 	33 , 	346 
District - South Garo Hills,Rural," 	21,836 "," 	9,016 "," 	11,914 ", 	525 , 	17 , 	32 , 	332 
District - South Garo Hills,Urban," 	2,372 "," 	1,924 ", 	423 , 	5 , 	5 , 	1 , 	14 
District - West Khasi Hills,Total," 	63,620 "," 	32,873 "," 	29,031 ", 	897 , 	209 , 	217 , 	393 
District - West Khasi Hills,Rural," 	56,508 "," 	26,775 "," 	28,078 ", 	889 , 	198 , 	194 , 	374 
District - West Khasi Hills,Urban," 	7,112 "," 	6,098 ", 	953 , 	8 , 	11 , 	23 , 	19 
District - Ri Bhoi,Total," 	45,660 "," 	30,676 "," 	13,691 ", 	501 , 	136 , 	57 , 	599 
District - Ri Bhoi,Rural," 	41,925 "," 	27,526 "," 	13,139 ", 	488 , 	133 , 	45 , 	594 
District - Ri Bhoi,Urban," 	3,735 "," 	3,150 ", 	552 , 	13 , 	3 , 	12 , 	5 
District - East Khasi Hills,Total," 	160,832 "," 	135,941 "," 	22,964 ", 	313 , 	356 , 	413 , 	845 
District - East Khasi Hills,Rural," 	84,694 "," 	61,312 "," 	21,873 ", 	283 , 	288 , 	291 , 	647 
District - East Khasi Hills,Urban," 	76,138 "," 	74,629 "," 	1,091 ", 	30 , 	68 , 	122 , 	198 
District - Jaintia Hills,Total," 	64,842 "," 	41,677 "," 	20,829 ", 	468 , 	566 , 	444 , 	858 
District - Jaintia Hills,Rural," 	59,681 "," 	36,622 "," 	20,776 ", 	465 , 	559 , 	424 , 	835 
District - Jaintia Hills,Urban," 	5,161 "," 	5,055 ", 	53 , 	3 , 	7 , 	20 , 	23 
STATE - MIZORAM,Total," 	221,077 "," 	186,155 "," 	29,903 "," 	2,936 ", 	753 , 	706 , 	624 
STATE - MIZORAM,Rural," 	104,874 "," 	72,138 "," 	28,159 "," 	2,872 ", 	644 , 	561 , 	500 
STATE - MIZORAM,Urban," 	116,203 "," 	114,017 "," 	1,744 ", 	64 , 	109 , 	145 , 	124 
District - Mamit,Total," 	17,204 "," 	12,158 "," 	4,509 ", 	313 , 	52 , 	116 , 	56 
District - Mamit,Rural," 	14,048 "," 	9,155 "," 	4,384 ", 	300 , 	45 , 	112 , 	52 
District - Mamit,Urban," 	3,156 "," 	3,003 ", 	125 , 	13 , 	7 , 	4 , 	4 
District - Kolasib,Total," 	17,296 "," 	14,853 "," 	2,344 ", 	25 , 	11 , 	24 , 	39 
District - Kolasib,Rural," 	7,664 "," 	5,930 "," 	1,675 ", 	19 , 	4 , 	5 , 	31 
District - Kolasib,Urban," 	9,632 "," 	8,923 ", 	669 , 	6 , 	7 , 	19 , 	8 
District - Aizawl,Total," 	81,912 "," 	79,804 "," 	1,610 ", 	307 , 	60 , 	89 , 	42 
District - Aizawl,Rural," 	17,157 "," 	15,585 "," 	1,238 ", 	282 , 	14 , 	23 , 	15 
District - Aizawl,Urban," 	64,755 "," 	64,219 ", 	372 , 	25 , 	46 , 	66 , 	27 
District - Champhai,Total," 	25,660 "," 	23,948 "," 	1,436 ", 	100 , 	55 , 	45 , 	76 
District - Champhai,Rural," 	15,604 "," 	14,105 "," 	1,304 ", 	96 , 	26 , 	23 , 	50 
District - Champhai,Urban," 	10,056 "," 	9,843 ", 	132 , 	4 , 	29 , 	22 , 	26 
District - Serchhip,Total," 	12,580 "," 	12,315 ", 	220 , 	2 , 	26 , 	8 , 	9 
District - Serchhip,Rural," 	6,309 "," 	6,201 ", 	84 , 	1 , 	20 , 	1 , 	2 
District - Serchhip,Urban," 	6,271 "," 	6,114 ", 	136 , 	1 , 	6 , 	7 , 	7 
District - Lunglei,Total," 	32,617 "," 	26,394 "," 	4,976 ", 	507 , 	283 , 	162 , 	295 
District - Lunglei,Rural," 	18,748 "," 	12,756 "," 	4,786 ", 	505 , 	278 , 	155 , 	268 
District - Lunglei,Urban," 	13,869 "," 	13,638 ", 	190 , 	2 , 	5 , 	7 , 	27 
District - Lawangtlai,Total," 	22,894 "," 	9,283 "," 	11,610 "," 	1,436 ", 	239 , 	246 , 	80 
District - Lawangtlai,Rural," 	19,039 "," 	5,511 "," 	11,557 "," 	1,429 ", 	233 , 	231 , 	78 
District - Lawangtlai,Urban," 	3,855 "," 	3,772 ", 	53 , 	7 , 	6 , 	15 , 	2 
District - Saiha,Total," 	10,914 "," 	7,400 "," 	3,198 ", 	246 , 	27 , 	16 , 	27 
District - Saiha,Rural," 	6,305 "," 	2,895 "," 	3,131 ", 	240 , 	24 , 	11 , 	4 
District - Saiha,Urban," 	4,609 "," 	4,505 ", 	67 , 	6 , 	3 , 	5 , 	23 
STATE - NAGALAND,Total," 	399,965 "," 	326,405 "," 	62,490 "," 	1,257 ", 	881 ," 	4,451 "," 	4,481 "
STATE - NAGALAND,Rural," 	284,911 "," 	214,319 "," 	60,106 "," 	1,163 ", 	783 ," 	4,309 "," 	4,231 "
STATE - NAGALAND,Urban," 	115,054 "," 	112,086 "," 	2,384 ", 	94 , 	98 , 	142 , 	250 
District - Mon,Total," 	41,347 "," 	14,398 "," 	24,210 ", 	132 , 	173 , 	653 ," 	1,781 "
District - Mon,Rural," 	35,804 "," 	9,273 "," 	23,836 ", 	126 , 	166 , 	652 ," 	1,751 "
District - Mon,Urban," 	5,543 "," 	5,125 ", 	374 , 	6 , 	7 , 	1 , 	30 
District - Mokokchung,Total," 	42,344 "," 	40,154 "," 	1,890 ", 	117 , 	69 , 	52 , 	62 
District - Mokokchung,Rural," 	30,016 "," 	28,032 "," 	1,728 ", 	99 , 	61 , 	46 , 	50 
District - Mokokchung,Urban," 	12,328 "," 	12,122 ", 	162 , 	18 , 	8 , 	6 , 	12 
District - Zunheboto,Total," 	30,333 "," 	28,846 "," 	1,088 ", 	156 , 	35 , 	24 , 	184 
District - Zunheboto,Rural," 	25,388 "," 	24,046 "," 	1,001 ", 	123 , 	34 , 	22 , 	162 
District - Zunheboto,Urban," 	4,945 "," 	4,800 ", 	87 , 	33 , 	1 , 	2 , 	22 
District - Wokha,Total," 	33,269 "," 	25,268 "," 	6,934 ", 	161 , 	102 , 	528 , 	276 
District - Wokha,Rural," 	27,028 "," 	19,111 "," 	6,872 ", 	161 , 	100 , 	519 , 	265 
District - Wokha,Urban," 	6,241 "," 	6,157 ", 	62 , 	-00 , 	2 , 	9 , 	11 
District - Dimapur,Total," 	76,732 "," 	71,413 "," 	4,631 ", 	62 , 	123 , 	178 , 	325 
District - Dimapur,Rural," 	36,034 "," 	31,571 "," 	3,899 ", 	48 , 	82 , 	162 , 	272 
District - Dimapur,Urban," 	40,698 "," 	39,842 ", 	732 , 	14 , 	41 , 	16 , 	53 
District - Phek,Total," 	37,891 "," 	36,182 "," 	1,089 ", 	17 , 	42 , 	379 , 	182 
District - Phek,Rural," 	32,889 "," 	31,256 "," 	1,027 ", 	16 , 	42 , 	370 , 	178 
District - Phek,Urban," 	5,002 "," 	4,926 ", 	62 , 	1 , 	-00 , 	9 , 	4 
District - Tuensang,Total," 	38,987 "," 	24,998 "," 	10,743 ", 	127 , 	147 ," 	1,965 "," 	1,007 "
District - Tuensang,Rural," 	32,185 "," 	18,446 "," 	10,529 ", 	119 , 	135 ," 	1,960 ", 	996 
District - Tuensang,Urban," 	6,802 "," 	6,552 ", 	214 , 	8 , 	12 , 	5 , 	11 
District - Longleng,Total," 	11,580 "," 	6,416 "," 	4,806 ", 	39 , 	6 , 	108 , 	205 
District - Longleng,Rural," 	9,896 "," 	4,994 "," 	4,592 ", 	37 , 	3 , 	105 , 	165 
District - Longleng,Urban," 	1,684 "," 	1,422 ", 	214 , 	2 , 	3 , 	3 , 	40 
District - Kiphire,Total," 	16,655 "," 	14,147 "," 	1,676 ", 	104 , 	60 , 	367 , 	301 
District - Kiphire,Rural," 	13,400 "," 	11,076 "," 	1,549 ", 	103 , 	52 , 	330 , 	290 
District - Kiphire,Urban," 	3,255 "," 	3,071 ", 	127 , 	1 , 	8 , 	37 , 	11 
District - Kohima,Total," 	52,136 "," 	50,724 "," 	1,093 ", 	41 , 	82 , 	91 , 	105 
District - Kohima,Rural," 	26,421 "," 	25,307 ", 	919 , 	32 , 	68 , 	39 , 	56 
District - Kohima,Urban," 	25,715 "," 	25,417 ", 	174 , 	9 , 	14 , 	52 , 	49 
District - Peren,Total," 	18,691 "," 	13,859 "," 	4,330 ", 	301 , 	42 , 	106 , 	53 
District - Peren,Rural," 	15,850 "," 	11,207 "," 	4,154 ", 	299 , 	40 , 	104 , 	46 
District - Peren,Urban," 	2,841 "," 	2,652 ", 	176 , 	2 , 	2 , 	2 , 	7 
STATE - ODISHA,Total," 	9,661,085 "," 	4,155,886 "," 	5,345,570 "," 	34,216 "," 	10,081 "," 	10,678 "," 	104,654 "
STATE - ODISHA,Rural," 	8,144,012 "," 	2,895,252 "," 	5,113,827 "," 	31,870 "," 	8,464 "," 	8,696 "," 	85,903 "
