Name,Type,Total,Electricity,Kerosene,Solar,OtherOil,Other,None
District - Kurnool,Rural," 	630,786 "," 	578,505 "," 	44,930 "," 	2,084 "," 	1,564 ", 	516 ," 	3,187 "
District - Kurnool,Urban," 	246,396 "," 	238,216 "," 	5,661 "," 	1,565 ", 	242 , 	263 , 	449 
District - Anantapur,Total," 	961,165 "," 	897,970 "," 	55,180 "," 	2,255 "," 	2,372 ", 	717 ," 	2,671 "
District - Anantapur,Rural," 	698,439 "," 	642,064 "," 	49,934 "," 	1,591 "," 	1,942 ", 	575 ," 	2,333 "
District - Anantapur,Urban," 	262,726 "," 	255,906 "," 	5,246 ", 	664 , 	430 , 	142 , 	338 
District - Chittoor,Total," 	1,022,116 "," 	944,555 "," 	69,695 "," 	2,553 "," 	2,473 ", 	488 ," 	2,352 "
District - Chittoor,Rural," 	727,635 "," 	656,721 "," 	64,450 "," 	1,802 "," 	2,211 ", 	419 ," 	2,032 "
District - Chittoor,Urban," 	294,481 "," 	287,834 "," 	5,245 ", 	751 , 	262 , 	69 , 	320 
STATE - ARUNACHAL PRADESH,Total," 	261,614 "," 	171,821 "," 	48,300 "," 	7,597 ", 	838 ," 	5,502 "," 	27,556 "
STATE - ARUNACHAL PRADESH,Rural," 	195,723 "," 	108,550 "," 	46,175 "," 	7,553 ", 	767 ," 	5,357 "," 	27,321 "
STATE - ARUNACHAL PRADESH,Urban," 	65,891 "," 	63,271 "," 	2,125 ", 	44 , 	71 , 	145 , 	235 
District - Tawang,Total," 	9,477 "," 	8,635 ", 	630 , 	119 , 	4 , 	44 , 	45 
District - Tawang,Rural," 	7,891 "," 	7,053 ", 	626 , 	119 , 	4 , 	44 , 	45 
District - Tawang,Urban," 	1,586 "," 	1,582 ", 	4 , 	-00 , 	-00 , 	-00 , 	-00 
District - West Kameng,Total," 	16,405 "," 	14,188 "," 	1,276 ", 	83 , 	55 , 	359 , 	444 
District - West Kameng,Rural," 	12,542 "," 	10,413 "," 	1,209 ", 	81 , 	55 , 	356 , 	428 
District - West Kameng,Urban," 	3,863 "," 	3,775 ", 	67 , 	2 , 	-00 , 	3 , 	16 
District - East Kameng,Total," 	14,610 "," 	5,318 "," 	2,039 ", 	753 , 	75 , 	989 ," 	5,436 "
District - East Kameng,Rural," 	11,078 "," 	1,852 "," 	1,982 ", 	749 , 	72 , 	989 ," 	5,434 "
District - East Kameng,Urban," 	3,532 "," 	3,466 ", 	57 , 	4 , 	3 , 	-00 , 	2 
District - Papum Pare,Total," 	33,476 "," 	30,539 "," 	1,675 ", 	150 , 	89 , 	247 , 	776 
District - Papum Pare,Rural," 	13,537 "," 	11,035 "," 	1,397 ", 	128 , 	71 , 	173 , 	733 
District - Papum Pare,Urban," 	19,939 "," 	19,504 ", 	278 , 	22 , 	18 , 	74 , 	43 
District - Upper Subansiri,Total," 	15,541 "," 	5,373 "," 	3,962 ", 	696 , 	69 ," 	1,270 "," 	4,171 "
District - Upper Subansiri,Rural," 	12,952 "," 	2,807 "," 	3,943 ", 	694 , 	69 ," 	1,268 "," 	4,171 "
District - Upper Subansiri,Urban," 	2,589 "," 	2,566 ", 	19 , 	2 , 	-00 , 	2 , 	-00 
District - West Siang,Total," 	20,474 "," 	14,204 "," 	1,916 "," 	1,345 ", 	46 , 	556 ," 	2,407 "
District - West Siang,Rural," 	15,387 "," 	9,172 "," 	1,864 "," 	1,344 ", 	46 , 	555 ," 	2,406 "
District - West Siang,Urban," 	5,087 "," 	5,032 ", 	52 , 	1 , 	-00 , 	1 , 	1 
District - East Siang,Total," 	19,095 "," 	14,231 "," 	4,380 ", 	323 , 	57 , 	51 , 	53 
District - East Siang,Rural," 	12,904 "," 	8,548 "," 	3,905 ", 	321 , 	40 , 	38 , 	52 
District - East Siang,Urban," 	6,191 "," 	5,683 ", 	475 , 	2 , 	17 , 	13 , 	1 
